set nodes := Node1 Node2 Node3 Node4 Node5 Node6 Node7 Node8 Node9 Node10 Node11 Node12 Node13 Node14 Node15 Node16 Node17 Node18 Node19 Node20 Node21 Node22 Node23 Node24 Node25 Node26 Node27 Node28 Node29 Node30 Node31 Node32 Node33 Node34 Node35 Node36 Node37 Node38 Node39 Node40 Node41 Node42 Node43 Node44 Node45 Node46 Node47 Node48 Node49 Node50 Node51 Node52 Node53 Node54 Node55 Node56 Node57 Node58 Node59 Node60 Node61 Node62;
set links := 'Pipe_1_2', 'Pipe_2_3', 'Pipe_3_4', 'Pipe_4_5', 'Pipe_5_6', 'Pipe_6_7', 'Pipe_7_8', 'Pipe_8_9', 'Pipe_9_10', 'Pipe_10_11', 'Pipe_11_12', 'Pipe_12_13', 'Pipe_10_14', 'Pipe_14_15', 'Pipe_15_16', 'Pipe_17_16', 'Pipe_18_17', 'Pipe_19_18', 'Pipe_3_19', 'Pipe_3_20', 'Pipe_20_21', 'Pipe_21_22', 'Pipe_20_23', 'Pipe_23_24', 'Pipe_24_25', 'Pipe_26_25', 'Pipe_27_26', 'Pipe_16_27', 'Pipe_23_28', 'Pipe_28_29', 'Pipe_29_30', 'Pipe_30_31', 'Pipe_32_31', 'Pipe_25_32', 'Pipe_2_33', 'Pipe_33_34', 'Pipe_34_35', 'Pipe_35_36', 'Pipe_36_37', 'Pipe_37_38', 'Pipe_38_39', 'Pipe_39_40', 'Pipe_40_41', 'Pipe_41_42', 'Pipe_42_43', 'Pipe_40_44', 'Pipe_44_45', 'Pipe_45_46', 'Pipe_47_46', 'Pipe_48_47', 'Pipe_49_48', 'Pipe_33_49', 'Pipe_33_50', 'Pipe_50_51', 'Pipe_51_52', 'Pipe_50_53', 'Pipe_53_54', 'Pipe_54_55', 'Pipe_56_55', 'Pipe_57_56', 'Pipe_46_57', 'Pipe_53_58', 'Pipe_58_59', 'Pipe_59_60', 'Pipe_60_61', 'Pipe_62_61', 'Pipe_55_62';
set pipes := 1 2 3 4 5 6;
set cycle := 'cycle1', 'cycle2', 'cycle3', 'cycle4', 'cycle5', 'cycle6';

param link_length :=
Pipe_1_2   28.9
Pipe_2_3   1350
Pipe_3_4   900
Pipe_4_5   1150
Pipe_5_6   1450
Pipe_6_7   450
Pipe_7_8   850
Pipe_8_9   850
Pipe_9_10   800
Pipe_10_11   950
Pipe_11_12   1200
Pipe_12_13   3500
Pipe_10_14   800
Pipe_14_15   500
Pipe_15_16   550
Pipe_17_16   2730
Pipe_18_17   1750
Pipe_19_18   800
Pipe_3_19   400
Pipe_3_20   2200
Pipe_20_21   1500
Pipe_21_22   500
Pipe_20_23   2650
Pipe_23_24   1230
Pipe_24_25   1300
Pipe_26_25   850
Pipe_27_26   300
Pipe_16_27   750
Pipe_23_28   1500
Pipe_28_29   2000
Pipe_29_30   1600
Pipe_30_31   150
Pipe_32_31   860
Pipe_25_32   950
Pipe_2_33   1350
Pipe_33_34   900
Pipe_34_35   1150
Pipe_35_36   1450
Pipe_36_37   450
Pipe_37_38   850
Pipe_38_39   850
Pipe_39_40   800
Pipe_40_41   950
Pipe_41_42   1200
Pipe_42_43   3500
Pipe_40_44   800
Pipe_44_45   500
Pipe_45_46   550
Pipe_47_46   2730
Pipe_48_47   1750
Pipe_49_48   800
Pipe_33_49   400
Pipe_33_50   2200
Pipe_50_51   1500
Pipe_51_52   500
Pipe_50_53   2650
Pipe_53_54   1230
Pipe_54_55   1300
Pipe_56_55   850
Pipe_57_56   300
Pipe_46_57   750
Pipe_53_58   1500
Pipe_58_59   2000
Pipe_59_60   1600
Pipe_60_61   150
Pipe_62_61   860
Pipe_55_62   950;

param sourceHead := 100;

param F:  Pipe_1_2 Pipe_2_3 Pipe_3_4 Pipe_4_5 Pipe_5_6 Pipe_6_7 Pipe_7_8 Pipe_8_9 Pipe_9_10 Pipe_10_11 Pipe_11_12 Pipe_12_13 Pipe_10_14 Pipe_14_15 Pipe_15_16 Pipe_17_16 Pipe_18_17 Pipe_19_18 Pipe_3_19 Pipe_3_20 Pipe_20_21 Pipe_21_22 Pipe_20_23 Pipe_23_24 Pipe_24_25 Pipe_26_25 Pipe_27_26 Pipe_16_27 Pipe_23_28 Pipe_28_29 Pipe_29_30 Pipe_30_31 Pipe_32_31 Pipe_25_32 Pipe_2_33 Pipe_33_34 Pipe_34_35 Pipe_35_36 Pipe_36_37 Pipe_37_38 Pipe_38_39 Pipe_39_40 Pipe_40_41 Pipe_41_42 Pipe_42_43 Pipe_40_44 Pipe_44_45 Pipe_45_46 Pipe_47_46 Pipe_48_47 Pipe_49_48 Pipe_33_49 Pipe_33_50 Pipe_50_51 Pipe_51_52 Pipe_50_53 Pipe_53_54 Pipe_54_55 Pipe_56_55 Pipe_57_56 Pipe_46_57 Pipe_53_58 Pipe_58_59 Pipe_59_60 Pipe_60_61 Pipe_62_61 Pipe_55_62 :=
Node1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node2   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node3   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   -1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node4   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node5   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node6   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node7   0   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node8   0   0   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node9   0   0   0   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node10   0   0   0   0   0   0   0   0   1   -1   0   0   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node11   0   0   0   0   0   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node12   0   0   0   0   0   0   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node13   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node14   0   0   0   0   0   0   0   0   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node15   0   0   0   0   0   0   0   0   0   0   0   0   0   1   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0   0   0   0   0   0   0   -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
Node17   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   -1   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
